,case,num_malfunction,time_steps,runtime,done_percentage,reward
0,Test_0/Level_0,0,19,0.307,1,0.958
1,Test_0/Level_1,0,37,0.088,1,0.913
2,Test_0/Level_2,0,35,0.081,1,0.918
3,Test_0/Level_3,0,17,0.065,1,0.963
4,Test_0/Level_4,0,36,0.087,1,0.916
5,Test_0/Level_5,0,32,0.076,1,0.926
6,Test_0/Level_6,0,17,0.067,1,0.963
7,Test_0/Level_7,0,34,0.081,1,0.921
8,Test_0/Level_8,0,36,0.078,1,0.916
9,Test_0/Level_9,0,16,0.065,1,0.965
10,Test_1/Level_0,0,34,0.095,1,0.925
11,Test_1/Level_1,0,36,3.637,1,0.944
12,Test_1/Level_2,0,33,0.088,1,0.947
13,Test_1/Level_3,0,35,0.084,1,0.92
14,Test_1/Level_4,0,52,0.111,1,0.924
15,Test_1/Level_5,0,29,0.081,1,0.946
16,Test_1/Level_6,0,32,0.083,1,0.936
17,Test_1/Level_7,0,30,0.087,1,0.951
18,Test_1/Level_8,0,29,0.081,1,0.947
19,Test_1/Level_9,0,30,0.101,1,0.934
20,Test_2/Level_0,0,30,3.298,1,0.943
21,Test_2/Level_1,0,34,0.101,1,0.938
22,Test_2/Level_2,0,30,0.086,1,0.951
23,Test_2/Level_3,0,36,0.093,1,0.944
24,Test_2/Level_4,0,34,0.102,1,0.938
25,Test_2/Level_5,0,35,0.093,1,0.951
26,Test_2/Level_6,0,30,0.097,1,0.94
27,Test_2/Level_7,0,32,0.098,1,0.93
28,Test_2/Level_8,0,35,0.093,1,0.939
29,Test_2/Level_9,0,55,0.125,1,0.91
30,Test_3/Level_0,0,43,0.114,1,0.933
31,Test_3/Level_1,0,33,0.09,1,0.954
32,Test_3/Level_2,0,30,0.093,1,0.946
33,Test_3/Level_3,0,36,0.096,1,0.947
34,Test_3/Level_4,0,30,0.104,1,0.948
35,Test_3/Level_5,0,36,0.116,1,0.954
36,Test_3/Level_6,0,84,0.165,1,0.877
37,Test_3/Level_7,0,38,0.111,1,0.938
38,Test_3/Level_8,0,37,0.106,1,0.943
39,Test_3/Level_9,0,36,0.113,1,0.944
40,Test_4/Level_0,0,35,0.107,1,0.943
41,Test_4/Level_1,1,84,0.154,1,0.935
42,Test_4/Level_2,0,33,0.145,1,0.939
43,Test_4/Level_3,0,36,0.131,1,0.94
44,Test_4/Level_4,0,38,0.111,1,0.938
45,Test_4/Level_5,0,37,0.104,1,0.934
46,Test_4/Level_6,0,36,0.113,1,0.937
47,Test_4/Level_7,0,38,0.109,1,0.934
48,Test_4/Level_8,0,31,0.104,1,0.943
